word,frequency,lang_code
diga-me,15484,pt
humanos,15462,pt
tira,15461,pt
meninas,15447,pt
verificar,15391,pt
terrível,15381,pt
monte,15374,pt
dar-lhe,15339,pt
pedido,15337,pt
ficas,15325,pt
sarah,15324,pt
chorar,15320,pt
céus,15312,pt
sejam,15308,pt
contas,15305,pt
ouviu,15294,pt
usa,15270,pt
preocupado,15263,pt
sentes,15262,pt
vós,15233,pt
parecem,15233,pt
exemplo,15231,pt
rio,15215,pt
liga,15206,pt
jeito,15186,pt
põe,15163,pt
oficial,15158,pt
odeio,15151,pt
início,15144,pt
enorme,15134,pt
televisão,15124,pt
suponho,15099,pt
socorro,15097,pt
dados,15079,pt
responsável,15038,pt
irmãos,15012,pt
repente,14984,pt
percebes,14978,pt
segura,14952,pt
acima,14918,pt
pediu,14908,pt
foda-se,14908,pt
esperava,14905,pt
almoço,14891,pt
xerife,14887,pt
cartão,14878,pt
estarei,14822,pt
planos,14811,pt
cozinha,14802,pt
dizer-lhe,14801,pt
ray,14800,pt
metros,14785,pt
negro,14783,pt
deixei,14753,pt
operação,14749,pt
preço,14722,pt
pele,14714,pt
existem,14705,pt
diabos,14682,pt
principal,14680,pt
justo,14664,pt
chá,14646,pt
vinho,14641,pt
lixo,14613,pt
mudou,14603,pt
novos,14599,pt
relatório,14582,pt
necessário,14561,pt
alta,14546,pt
par,14542,pt
perdido,14540,pt
agentes,14536,pt
dado,14482,pt
imenso,14469,pt
nomes,14459,pt
defesa,14444,pt
laboratório,14431,pt
comando,14428,pt
tia,14374,pt
bill,14363,pt
maravilhoso,14359,pt
fotografia,14354,pt
dizia,14348,pt
fotos,14337,pt
ilha,14334,pt
subir,14334,pt
farei,14329,pt
opinião,14314,pt
tony,14251,pt
terminar,14251,pt
acesso,14243,pt
fato,14243,pt
braço,14229,pt
saco,14206,pt
lembrar,14203,pt
desejo,14200,pt
correu,14187,pt
senão,14186,pt
série,14157,pt
conseguiste,14150,pt
nela,14138,pt
jim,14131,pt
comboio,14127,pt
roupas,14116,pt
cabra,14111,pt
junto,14104,pt
sonhos,14103,pt
pernas,14084,pt
ido,14080,pt
pedi,14073,pt
discutir,14071,pt
livros,14066,pt
saiba,14053,pt
falamos,14046,pt
saudades,14046,pt
harry,13990,pt
rádio,13976,pt
destruir,13960,pt
traz,13947,pt
silêncio,13946,pt
peça,13927,pt
bob,13890,pt
senti,13880,pt
escolher,13874,pt
carros,13865,pt
maldito,13836,pt
cheia,13816,pt
limpar,13811,pt
ama,13808,pt
caramba,13794,pt
nove,13792,pt
ficam,13769,pt
novas,13725,pt
carrinha,13691,pt
trato,13686,pt
evitar,13676,pt
seres,13648,pt
pista,13621,pt
departamento,13619,pt
verão,13608,pt
direcção,13604,pt
soldados,13570,pt
dessas,13565,pt
errada,13563,pt
justiça,13561,pt
costumava,13556,pt
mala,13541,pt
foder,13541,pt
leve,13532,pt
daquela,13526,pt
memória,13525,pt
rabo,13521,pt
azul,13507,pt
calças,13478,pt
graça,13477,pt
tommy,13468,pt
façam,13467,pt
verdadeira,13457,pt
hey,13452,pt
restaurante,13448,pt
comum,13444,pt
confiança,13427,pt
vens,13426,pt
estação,13410,pt
vídeo,13405,pt
pressão,13401,pt
sapatos,13395,pt
inimigo,13388,pt
ligou,13379,pt
preparar,13379,pt
diz-lhe,13368,pt
ocupado,13367,pt
duro,13366,pt
várias,13354,pt
deviam,13342,pt
sendo,13340,pt
cartas,13336,pt
espírito,13328,pt
igual,13326,pt
prestes,13289,pt
paris,13274,pt
corre,13272,pt
inteiro,13269,pt
branca,13264,pt
gelo,13263,pt
maluco,13254,pt
bem-vindo,13231,pt
cheguei,13230,pt
apareceu,13227,pt
cuidar,13204,pt
daquele,13191,pt
magia,13187,pt
universidade,13183,pt
processo,13171,pt
dentes,13166,pt
porcaria,13163,pt
copo,13154,pt
noites,13148,pt
vermelho,13127,pt
responder,13124,pt
volte,13124,pt
apoio,13118,pt
parque,13093,pt
paciente,13070,pt
quão,13061,pt
tornar,13047,pt
conseguia,13040,pt
andas,13030,pt
viram,12980,pt
arte,12965,pt
jake,12955,pt
visita,12948,pt
buraco,12947,pt
cantar,12940,pt
sucesso,12912,pt
pegar,12910,pt
queira,12896,pt
ajudá-lo,12873,pt
infelizmente,12867,pt
conduzir,12857,pt
parede,12855,pt
cheiro,12852,pt
herói,12850,pt
inglês,12828,pt
devagar,12820,pt
